#A  P  sigma   slow   shigh   mu  
1.000 1.841 0.2263 0.0024 0.4346 60.0807
3.162 0.166 0.0728 0.0000 0.3620 60.1186
10.000 0.011 0.9263 0.3134 1.2412 59.8836
31.623 0.001 0.7502 0.0029 1.3572 59.7315
0.010 1439.601 0.4466 0.1218 0.6620 60.0314
0.032 346.241 0.3763 0.0321 0.5243 59.8889
0.100 75.419 0.1342 0.0001 0.3791 59.9043
0.316 13.731 0.0618 0.0005 0.4399 59.9782
1.000 1.841 0.7303 0.4370 0.9621 59.9343
3.162 0.166 0.3681 0.0094 0.5707 59.9636
10.000 0.011 1.1279 0.7452 1.5278 59.9996
31.623 0.001 1.3840 0.1595 1.9819 60.2784
0.010 1439.601 0.0404 0.0001 0.2399 59.8426
0.032 346.241 0.1248 0.0001 0.3671 59.9905
0.100 75.419 0.6065 0.2562 0.8090 59.9495
0.316 13.731 0.1103 0.0025 0.3822 59.8615
1.000 1.841 0.0880 0.0002 0.3609 60.1522
3.162 0.166 0.0503 0.0009 0.3757 59.9427
10.000 0.011 0.0674 0.0001 0.4603 60.6822
31.623 0.001 0.1612 0.0003 1.3224 59.8244
0.010 1439.601 0.7928 0.4921 0.9849 60.1569
0.032 346.241 0.0398 0.0003 0.3154 60.0783
0.100 75.419 0.2538 0.0025 0.4414 59.9691
0.316 13.731 0.0590 0.0009 0.2948 60.0516
1.000 1.841 0.1073 0.0001 0.3775 59.9640
3.162 0.166 0.0539 0.0000 0.2894 59.8293
10.000 0.011 1.1110 0.6222 1.5273 59.8604
31.623 0.001 0.1196 0.0005 0.8452 60.4639
0.010 1439.601 0.1961 0.0001 0.4317 60.0623
0.032 346.241 0.5288 0.1728 0.7232 59.9402
0.100 75.419 0.0437 0.0000 0.2850 60.1651
0.316 13.731 0.0475 0.0003 0.3279 59.9519
1.000 1.841 0.0402 0.0000 0.2845 59.9164
3.162 0.166 0.0818 0.0000 0.3735 59.9619
10.000 0.011 0.2356 0.0020 0.7100 59.9261
31.623 0.001 0.7611 0.0022 1.4662 61.2120
0.010 1439.601 0.7853 0.4760 0.9879 59.9343
0.032 346.241 0.4914 0.1733 0.7230 60.0765
0.100 75.419 0.5132 0.1421 0.6930 59.9836
0.316 13.731 0.0725 0.0001 0.3439 59.9022
1.000 1.841 0.0761 0.0002 0.3339 60.0205
3.162 0.166 0.0527 0.0001 0.4355 60.1162
10.000 0.011 0.9402 0.4242 1.3809 60.2600
31.623 0.001 0.1351 0.0000 0.9304 58.8922
0.010 1439.601 0.7436 0.4665 0.9835 59.9598
0.032 346.241 0.0624 0.0000 0.3649 59.9923
0.100 75.419 0.1378 0.0054 0.4277 59.8324
0.316 13.731 0.5692 0.1920 0.7428 59.8733
1.000 1.841 0.0466 0.0000 0.3221 60.0319
3.162 0.166 0.0933 0.0001 0.4746 59.8824
10.000 0.011 0.7793 0.2384 1.1041 60.1939
31.623 0.001 0.2878 0.0002 1.4054 60.1573
0.010 1439.601 0.1374 0.0000 0.3535 60.0973
0.032 346.241 0.4234 0.0804 0.5938 59.8300
0.100 75.419 0.0966 0.0004 0.3985 59.9014
0.316 13.731 0.7059 0.3746 0.9201 59.9735
1.000 1.841 0.6505 0.2663 0.8558 60.0702
3.162 0.166 0.0716 0.0009 0.4508 60.0889
10.000 0.011 0.6934 0.2223 1.0853 60.2216
31.623 0.001 1.4174 0.2980 1.9643 59.7371
0.010 1439.601 0.6784 0.3806 0.9165 59.8876
0.032 346.241 0.3584 0.0081 0.4893 60.0526
0.100 75.419 0.0463 0.0002 0.3194 60.0696
0.316 13.731 0.0542 0.0000 0.2700 60.0139
1.000 1.841 0.0558 0.0001 0.3006 59.9282
3.162 0.166 0.1030 0.0000 0.3381 60.0054
10.000 0.011 0.0534 0.0002 0.3819 59.8711
31.623 0.001 0.1562 0.0003 1.0172 59.7948
0.010 1439.601 0.3758 0.0391 0.5572 60.0770
0.032 346.241 0.6311 0.3310 0.8928 60.0405
0.100 75.419 0.0519 0.0002 0.3622 60.0828
0.316 13.731 0.1497 0.0000 0.4400 59.7972
1.000 1.841 0.2740 0.0001 0.4608 60.0123
3.162 0.166 0.0532 0.0001 0.3265 59.9788
10.000 0.011 0.0833 0.0000 0.6565 60.3457
31.623 0.001 0.9921 0.0050 1.6809 60.0898
0.010 1439.601 0.3378 0.0051 0.4759 60.0479
0.032 346.241 0.0611 0.0000 0.4024 60.1477
0.100 75.419 0.5017 0.1291 0.6650 60.0148
0.316 13.731 0.0581 0.0003 0.3060 59.9425
1.000 1.841 0.5942 0.3057 0.8804 60.0733
3.162 0.166 0.0644 0.0004 0.4334 59.9693
