#A  P  sigma   slow   shigh   mu  
0.010 1439.601 0.2914 0.2846 0.2988 59.9890
0.032 346.241 0.1807 0.1761 0.1853 59.9870
0.100 75.419 0.1630 0.1592 0.1677 59.9972
0.316 13.731 0.1693 0.1637 0.1725 59.9926
1.000 1.841 0.1632 0.1598 0.1680 59.9958
3.162 0.166 0.1715 0.1668 0.1760 60.0016
10.000 0.011 0.2290 0.2200 0.2366 59.9909
31.623 0.001 0.4522 0.4212 0.5039 59.9959
0.010 1439.601 0.2954 0.2866 0.3012 60.0048
0.032 346.241 0.1829 0.1787 0.1878 59.9870
0.100 75.419 0.1646 0.1605 0.1691 59.9992
0.316 13.731 0.1719 0.1673 0.1761 59.9946
1.000 1.841 0.1775 0.1728 0.1818 59.9936
3.162 0.166 0.1724 0.1688 0.1783 60.0035
10.000 0.011 0.2413 0.2318 0.2497 60.0044
31.623 0.001 0.4380 0.4082 0.4871 59.9091
0.010 1439.601 0.3073 0.2985 0.3139 59.9737
0.032 346.241 0.1873 0.1826 0.1917 59.9955
0.100 75.419 0.1570 0.1535 0.1616 59.9906
0.316 13.731 0.1623 0.1584 0.1663 59.9979
1.000 1.841 0.1637 0.1591 0.1673 59.9986
3.162 0.166 0.1689 0.1647 0.1738 59.9975
10.000 0.011 0.2255 0.2173 0.2330 60.0079
31.623 0.001 0.4652 0.4302 0.5030 60.0069
0.010 1439.601 0.2898 0.2821 0.2975 59.9886
0.032 346.241 0.1921 0.1875 0.1974 59.9903
0.100 75.419 0.1670 0.1622 0.1708 59.9828
0.316 13.731 0.1593 0.1547 0.1629 60.0064
1.000 1.841 0.1687 0.1650 0.1739 60.0068
3.162 0.166 0.1739 0.1689 0.1784 59.9959
10.000 0.011 0.2258 0.2176 0.2345 59.9750
31.623 0.001 0.4006 0.3680 0.4314 60.0349
0.010 1439.601 0.2983 0.2906 0.3057 60.0014
0.032 346.241 0.1847 0.1799 0.1894 59.9827
0.100 75.419 0.1705 0.1664 0.1752 59.9965
0.316 13.731 0.1626 0.1589 0.1673 59.9862
1.000 1.841 0.1712 0.1675 0.1763 59.9915
3.162 0.166 0.1723 0.1672 0.1765 59.9943
10.000 0.011 0.2343 0.2272 0.2437 59.9779
31.623 0.001 0.4514 0.4189 0.4886 59.9898
0.010 1439.601 0.3070 0.2992 0.3148 60.0033
0.032 346.241 0.1937 0.1885 0.1985 59.9880
0.100 75.419 0.1608 0.1567 0.1648 59.9921
0.316 13.731 0.1675 0.1628 0.1711 59.9804
1.000 1.841 0.1685 0.1642 0.1728 59.9857
3.162 0.166 0.1729 0.1683 0.1781 59.9946
10.000 0.011 0.2518 0.2431 0.2607 59.9915
31.623 0.001 0.4683 0.4310 0.5063 60.0573
0.010 1439.601 0.2944 0.2883 0.3037 59.9713
0.032 346.241 0.1850 0.1799 0.1897 59.9895
0.100 75.419 0.1544 0.1507 0.1585 59.9838
0.316 13.731 0.1610 0.1571 0.1652 59.9978
1.000 1.841 0.1707 0.1671 0.1757 59.9931
3.162 0.166 0.1709 0.1659 0.1749 59.9971
10.000 0.011 0.2459 0.2386 0.2559 59.9911
31.623 0.001 0.4734 0.4365 0.5085 60.0271
0.010 1439.601 0.2906 0.2830 0.2981 59.9875
0.032 346.241 0.1931 0.1883 0.1982 59.9794
0.100 75.419 0.1584 0.1538 0.1613 59.9896
0.316 13.731 0.1692 0.1647 0.1734 59.9829
1.000 1.841 0.1688 0.1653 0.1740 60.0032
3.162 0.166 0.1738 0.1691 0.1785 59.9889
10.000 0.011 0.2509 0.2427 0.2599 59.9909
31.623 0.001 0.4789 0.4411 0.5156 60.0511
0.010 1439.601 0.3006 0.2915 0.3071 59.9755
0.032 346.241 0.1901 0.1858 0.1955 59.9916
0.100 75.419 0.1592 0.1549 0.1634 59.9971
0.316 13.731 0.1673 0.1622 0.1710 59.9916
1.000 1.841 0.1675 0.1624 0.1709 59.9984
3.162 0.166 0.1706 0.1662 0.1755 59.9986
10.000 0.011 0.2269 0.2184 0.2344 60.0083
31.623 0.001 0.4544 0.4226 0.4925 59.9004
0.010 1439.601 0.3049 0.2971 0.3133 59.9735
0.032 346.241 0.1854 0.1812 0.1907 59.9796
0.100 75.419 0.1607 0.1569 0.1652 59.9901
0.316 13.731 0.1630 0.1590 0.1672 59.9874
1.000 1.841 0.1688 0.1645 0.1733 59.9971
3.162 0.166 0.1651 0.1614 0.1700 59.9963
10.000 0.011 0.2444 0.2344 0.2521 59.9934
31.623 0.001 0.4359 0.3978 0.4753 60.0320
0.010 1439.601 0.3017 0.2938 0.3090 59.9755
0.032 346.241 0.1845 0.1807 0.1902 59.9843
0.100 75.419 0.1604 0.1562 0.1644 59.9826
0.316 13.731 0.1698 0.1652 0.1738 59.9964
1.000 1.841 0.1748 0.1709 0.1802 59.9976
3.162 0.166 0.1720 0.1679 0.1772 60.0049
10.000 0.011 0.2544 0.2451 0.2632 59.9882
31.623 0.001 0.4657 0.4290 0.5026 60.0384
0.010 1439.601 0.3026 0.2946 0.3101 59.9878
0.032 346.241 0.1921 0.1870 0.1967 59.9841
0.100 75.419 0.1611 0.1572 0.1655 59.9843
0.316 13.731 0.1598 0.1558 0.1641 59.9905
1.000 1.841 0.1689 0.1648 0.1734 60.0040
3.162 0.166 0.1736 0.1686 0.1773 59.9933
10.000 0.011 0.2427 0.2361 0.2532 59.9891
31.623 0.001 0.4668 0.4321 0.5103 59.9689
0.010 1439.601 0.2959 0.2879 0.3036 59.9824
0.032 346.241 0.1818 0.1770 0.1865 60.0003
0.100 75.419 0.1647 0.1613 0.1699 59.9919
0.316 13.731 0.1714 0.1666 0.1755 59.9920
1.000 1.841 0.1688 0.1648 0.1735 59.9958
3.162 0.166 0.1782 0.1731 0.1827 59.9920
10.000 0.011 0.2428 0.2341 0.2519 59.9905
31.623 0.001 0.4298 0.3961 0.4664 59.9432
0.010 1439.601 0.2936 0.2869 0.3019 59.9790
0.032 346.241 0.1864 0.1804 0.1898 59.9823
0.100 75.419 0.1552 0.1521 0.1603 59.9915
0.316 13.731 0.1631 0.1595 0.1679 59.9877
1.000 1.841 0.1689 0.1648 0.1735 60.0011
3.162 0.166 0.1769 0.1724 0.1818 59.9989
10.000 0.011 0.2431 0.2340 0.2518 59.9985
31.623 0.001 0.4600 0.4252 0.4991 59.9187
