#A  P  sigma   slow   shigh   mu  
0.010 1439.601 0.5073 0.5029 0.5111 59.9766
0.032 346.241 0.3194 0.3172 0.3223 59.9834
0.100 75.419 0.2822 0.2797 0.2842 59.9915
0.316 13.731 0.2856 0.2837 0.2883 59.9877
1.000 1.841 0.2927 0.2902 0.2949 59.9929
3.162 0.166 0.3188 0.3165 0.3219 59.9949
10.000 0.011 0.4094 0.4044 0.4137 59.9970
31.623 0.001 0.7373 0.7183 0.7590 60.0055
0.010 1439.601 0.5138 0.5091 0.5173 59.9788
0.032 346.241 0.3232 0.3205 0.3257 59.9772
0.100 75.419 0.2837 0.2810 0.2856 59.9830
0.316 13.731 0.2880 0.2856 0.2902 59.9879
1.000 1.841 0.2943 0.2918 0.2965 59.9920
3.162 0.166 0.3157 0.3129 0.3181 59.9944
10.000 0.011 0.4159 0.4114 0.4206 59.9910
31.623 0.001 0.7490 0.7274 0.7691 59.9721
0.010 1439.601 0.5213 0.5163 0.5246 59.9810
0.032 346.241 0.3230 0.3204 0.3256 59.9746
0.100 75.419 0.2815 0.2793 0.2840 59.9882
0.316 13.731 0.2846 0.2826 0.2872 59.9937
1.000 1.841 0.2927 0.2897 0.2943 59.9941
3.162 0.166 0.3184 0.3154 0.3206 59.9882
10.000 0.011 0.4041 0.4002 0.4093 59.9968
31.623 0.001 0.7066 0.6893 0.7287 59.9975
0.010 1439.601 0.5163 0.5120 0.5204 59.9723
0.032 346.241 0.3275 0.3245 0.3298 59.9775
0.100 75.419 0.2840 0.2820 0.2865 59.9900
0.316 13.731 0.2866 0.2842 0.2888 59.9873
1.000 1.841 0.2950 0.2927 0.2974 59.9979
3.162 0.166 0.3166 0.3139 0.3191 59.9859
10.000 0.011 0.4158 0.4114 0.4207 59.9730
31.623 0.001 0.7229 0.7020 0.7420 59.9354
0.010 1439.601 0.5146 0.5110 0.5193 59.9718
0.032 346.241 0.3236 0.3207 0.3258 59.9804
0.100 75.419 0.2807 0.2787 0.2832 59.9861
0.316 13.731 0.2899 0.2874 0.2920 59.9899
1.000 1.841 0.2931 0.2910 0.2958 59.9868
3.162 0.166 0.3153 0.3125 0.3178 59.9950
10.000 0.011 0.4134 0.4093 0.4188 59.9892
31.623 0.001 0.7347 0.7124 0.7534 60.0214
0.010 1439.601 0.5074 0.5036 0.5117 59.9722
0.032 346.241 0.3209 0.3185 0.3236 59.9833
0.100 75.419 0.2788 0.2766 0.2810 59.9889
0.316 13.731 0.2858 0.2839 0.2885 59.9872
1.000 1.841 0.2905 0.2882 0.2929 59.9904
3.162 0.166 0.3113 0.3087 0.3138 59.9930
